id,code,number,name,parent_id/id,type,nature,active
acc_sat.account_sat_v2_277,203.06,203-100-006,Intereses cobrados por anticipado a corto plazo extranjero,acc_sat.account_sat_v2_271,other,A,True
acc_sat.account_sat_v2_278,203.07,203-100-007,Intereses cobrados por anticipado a corto plazo nacional parte relacionada,acc_sat.account_sat_v2_271,other,A,True
acc_sat.account_sat_v2_279,203.08,203-100-008,Intereses cobrados por anticipado a corto plazo extranjero parte relacionada,acc_sat.account_sat_v2_271,other,A,True
acc_sat.account_sat_v2_280,203.09,203-100-009,Factoraje financiero cobrados por anticipado a corto plazo nacional,acc_sat.account_sat_v2_271,other,A,True
acc_sat.account_sat_v2_281,203.10,203-100-010,Factoraje financiero cobrados por anticipado a corto plazo extranjero,acc_sat.account_sat_v2_271,other,A,True
acc_sat.account_sat_v2_282,203.11,203-100-011,Factoraje financiero cobrados por anticipado a corto plazo nacional parte relacionada,acc_sat.account_sat_v2_271,other,A,True
acc_sat.account_sat_v2_283,203.12,203-100-012,Factoraje financiero cobrados por anticipado a corto plazo extranjero parte relacionada,acc_sat.account_sat_v2_271,other,A,True
acc_sat.account_sat_v2_284,203.13,203-100-013,Arrendamiento financiero cobrados por anticipado a corto plazo nacional,acc_sat.account_sat_v2_271,other,A,True
acc_sat.account_sat_v2_285,203.14,203-100-014,Arrendamiento financiero cobrados por anticipado a corto plazo extranjero,acc_sat.account_sat_v2_271,other,A,True
acc_sat.account_sat_v2_286,203.15,203-100-015,Arrendamiento financiero cobrados por anticipado a corto plazo nacional parte relacionada,acc_sat.account_sat_v2_271,other,A,True
acc_sat.account_sat_v2_287,203.16,203-100-016,Arrendamiento financiero cobrados por anticipado a corto plazo extranjero parte relacionada,acc_sat.account_sat_v2_271,other,A,True
acc_sat.account_sat_v2_288,203.17,203-100-017,Derechos fiduciarios,acc_sat.account_sat_v2_271,other,A,True
acc_sat.account_sat_v2_289,203.18,203-100-018,Otros cobros anticipados,acc_sat.account_sat_v2_271,other,A,True
acc_sat.account_sat_v2_290,204,204-000-000,Instrumentos financieros a corto plazo,acc_sat.account_sat_v2_252,view,A,True
acc_sat.account_sat_v2_291,204.01,204-100-001,Instrumentos financieros a corto plazo,acc_sat.account_sat_v2_290,other,A,True
acc_sat.account_sat_v2_292,205,205-000-000,Acreedores diversos a corto plazo,acc_sat.account_sat_v2_252,view,A,True
acc_sat.account_sat_v2_293,205.01,205-100-001,"Socios, accionistas o representante legal",acc_sat.account_sat_v2_292,other,A,True
acc_sat.account_sat_v2_294,205.02,205-100-002,Acreedores diversos a corto plazo nacional,acc_sat.account_sat_v2_292,other,A,True
acc_sat.account_sat_v2_295,205.03,205-100-003,Acreedores diversos a corto plazo extranjero,acc_sat.account_sat_v2_292,other,A,True
acc_sat.account_sat_v2_296,205.04,205-100-004,Acreedores diversos a corto plazo nacional parte relacionada,acc_sat.account_sat_v2_292,other,A,True
acc_sat.account_sat_v2_297,205.05,205-100-005,Acreedores diversos a corto plazo extranjero parte relacionada,acc_sat.account_sat_v2_292,other,A,True
acc_sat.account_sat_v2_298,205.06,205-100-006,Otros acreedores diversos a corto plazo,acc_sat.account_sat_v2_292,other,A,True
acc_sat.account_sat_v2_299,206,206-000-000,Anticipo de cliente,acc_sat.account_sat_v2_252,view,A,True
